group,dataset,dataset_id,scenario,property,aether_pass,veridns_pass,matches_aether,aether_errors,veridns_errors,oracle
top-10,com.tw,top-10/com.tw,A_ADD,delegation_consistency,True,True,True,,,Aether
top-10,com.tw,top-10/com.tw,A_UPDATE,hops,True,True,True,,,Aether
top-10,com.tw,top-10/com.tw,A_UPDATE,rewrites,True,True,True,,,Aether
top-10,com.tw,top-10/com.tw,A_UPDATE,lame_delegation,True,True,True,,,Aether
top-10,com.tw,top-10/com.tw,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
top-10,com.tw,top-10/com.tw,A_UPDATE,rewrite_loop,True,True,True,,,Aether
top-10,com.tw,top-10/com.tw,A_UPDATE,delegation_consistency,True,True,True,,,Aether
top-10,com.tw,top-10/com.tw,NS_UPDATE,hops,True,True,True,,lame_delegation,Aether
top-10,com.tw,top-10/com.tw,NS_UPDATE,rewrites,True,True,True,,lame_delegation,Aether
top-10,com.tw,top-10/com.tw,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
top-10,com.tw,top-10/com.tw,NS_UPDATE,rewrite_blackholing,True,True,True,,lame_delegation,Aether
top-10,com.tw,top-10/com.tw,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
top-10,com.tw,top-10/com.tw,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
top-10,com.tw,top-10/com.tw,CNAME_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
top-10,com.tw,top-10/com.tw,CNAME_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
top-10,com.tw,top-10/com.tw,CNAME_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
top-10,com.tw,top-10/com.tw,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
top-10,com.tw,top-10/com.tw,CNAME_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
top-10,com.tw,top-10/com.tw,CNAME_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
top-10,com.ua,top-10/com.ua,A_ADD,hops,True,True,True,,,Aether
top-10,com.ua,top-10/com.ua,A_ADD,rewrites,True,True,True,,,Aether
top-10,com.ua,top-10/com.ua,A_ADD,lame_delegation,True,True,True,,,Aether
top-10,com.ua,top-10/com.ua,A_ADD,rewrite_blackholing,True,True,True,,,Aether
top-10,com.ua,top-10/com.ua,A_ADD,rewrite_loop,True,True,True,,,Aether
top-10,com.ua,top-10/com.ua,A_ADD,delegation_consistency,True,True,True,,,Aether
top-10,com.ua,top-10/com.ua,A_UPDATE,hops,True,True,True,,,Aether
top-10,com.ua,top-10/com.ua,A_UPDATE,rewrites,True,True,True,,,Aether
top-10,com.ua,top-10/com.ua,A_UPDATE,lame_delegation,True,True,True,,,Aether
top-10,com.ua,top-10/com.ua,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
top-10,com.ua,top-10/com.ua,A_UPDATE,rewrite_loop,True,True,True,,,Aether
top-10,com.ua,top-10/com.ua,A_UPDATE,delegation_consistency,True,True,True,,,Aether
top-10,com.ua,top-10/com.ua,NS_UPDATE,hops,True,True,True,,lame_delegation,Aether
top-10,com.ua,top-10/com.ua,NS_UPDATE,rewrites,True,True,True,,lame_delegation,Aether
top-10,com.ua,top-10/com.ua,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
top-10,com.ua,top-10/com.ua,NS_UPDATE,rewrite_blackholing,True,True,True,,lame_delegation,Aether
top-10,com.ua,top-10/com.ua,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
top-10,com.ua,top-10/com.ua,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
top-10,gov.cn,top-10/gov.cn,A_ADD,hops,True,True,True,,,Aether
top-10,gov.cn,top-10/gov.cn,A_ADD,rewrites,True,True,True,,,Aether
top-10,gov.cn,top-10/gov.cn,A_ADD,lame_delegation,True,True,True,,,Aether
top-10,gov.cn,top-10/gov.cn,A_ADD,rewrite_blackholing,True,True,True,,,Aether
top-10,gov.cn,top-10/gov.cn,A_ADD,rewrite_loop,True,True,True,,,Aether
top-10,gov.cn,top-10/gov.cn,A_ADD,delegation_consistency,True,True,True,,,Aether
top-10,gov.cn,top-10/gov.cn,A_UPDATE,hops,True,True,True,,,Aether
top-10,gov.cn,top-10/gov.cn,A_UPDATE,rewrites,True,True,True,,,Aether
top-10,gov.cn,top-10/gov.cn,A_UPDATE,lame_delegation,True,True,True,,,Aether
top-10,gov.cn,top-10/gov.cn,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
top-10,gov.cn,top-10/gov.cn,A_UPDATE,rewrite_loop,True,True,True,,,Aether
top-10,gov.cn,top-10/gov.cn,A_UPDATE,delegation_consistency,True,True,True,,,Aether
top-10,gov.cn,top-10/gov.cn,NS_UPDATE,hops,True,True,True,,lame_delegation,Aether
top-10,gov.cn,top-10/gov.cn,NS_UPDATE,rewrites,True,True,True,,lame_delegation,Aether
top-10,gov.cn,top-10/gov.cn,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
top-10,gov.cn,top-10/gov.cn,NS_UPDATE,rewrite_blackholing,True,True,True,,lame_delegation,Aether
top-10,gov.cn,top-10/gov.cn,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
top-10,gov.cn,top-10/gov.cn,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
top-10,net.au,top-10/net.au,A_ADD,hops,True,True,True,,,Aether
top-10,net.au,top-10/net.au,A_ADD,rewrites,True,True,True,,,Aether
top-10,net.au,top-10/net.au,A_ADD,lame_delegation,True,True,True,,,Aether
top-10,net.au,top-10/net.au,A_ADD,rewrite_blackholing,True,True,True,,,Aether
top-10,net.au,top-10/net.au,A_ADD,rewrite_loop,True,True,True,,,Aether
top-10,net.au,top-10/net.au,A_ADD,delegation_consistency,True,True,True,,,Aether
top-10,net.au,top-10/net.au,A_UPDATE,hops,True,True,True,,,Aether
top-10,net.au,top-10/net.au,A_UPDATE,rewrites,True,True,True,,,Aether
top-10,net.au,top-10/net.au,A_UPDATE,lame_delegation,True,True,True,,,Aether
top-10,net.au,top-10/net.au,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
top-10,net.au,top-10/net.au,A_UPDATE,rewrite_loop,True,True,True,,,Aether
top-10,net.au,top-10/net.au,A_UPDATE,delegation_consistency,True,True,True,,,Aether
top-10,net.au,top-10/net.au,NS_UPDATE,hops,True,True,True,,lame_delegation,Aether
top-10,net.au,top-10/net.au,NS_UPDATE,rewrites,True,True,True,,lame_delegation,Aether
top-10,net.au,top-10/net.au,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
top-10,net.au,top-10/net.au,NS_UPDATE,rewrite_blackholing,True,True,True,,lame_delegation,Aether
top-10,net.au,top-10/net.au,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
top-10,net.au,top-10/net.au,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
top-10,net.au,top-10/net.au,CNAME_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
top-10,net.au,top-10/net.au,CNAME_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
top-10,net.au,top-10/net.au,CNAME_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
top-10,net.au,top-10/net.au,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
top-10,net.au,top-10/net.au,CNAME_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
top-10,net.au,top-10/net.au,CNAME_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,A_ADD,hops,True,True,True,,rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,A_ADD,rewrites,True,True,True,,rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,A_ADD,lame_delegation,True,True,True,,rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,A_ADD,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,A_ADD,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,A_ADD,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,A_UPDATE,hops,True,True,True,,,Aether
top-10,org.br,top-10/org.br,A_UPDATE,rewrites,True,True,True,,,Aether
top-10,org.br,top-10/org.br,A_UPDATE,lame_delegation,True,True,True,,,Aether
top-10,org.br,top-10/org.br,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
top-10,org.br,top-10/org.br,A_UPDATE,rewrite_loop,True,True,True,,,Aether
top-10,org.br,top-10/org.br,A_UPDATE,delegation_consistency,True,True,True,,,Aether
top-10,org.br,top-10/org.br,NS_UPDATE,hops,True,True,True,,lame_delegation|rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,NS_UPDATE,rewrites,True,True,True,,lame_delegation|rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation|rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,NS_UPDATE,rewrite_blackholing,True,False,False,,lame_delegation|rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation|rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation|rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,CNAME_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,CNAME_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,CNAME_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,CNAME_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
top-10,org.br,top-10/org.br,CNAME_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
